Symbolic_Maths,Natural_Language
b ∈ V \ R,b is an element of V but not in R
b ∈ W \ C,b is an element of W but not in C
b ∈ W \ X,b is an element of W but not in X
b ∈ Aᶜ ↔ b ∉ A,b is an element of the complement of A if and only if b is not in A
b ∈ C ∩ X ↔ (b ∈ C ∧ b ∈ X),b is an element of the intersection of C and X if and only if b is in both C and X
b ∈ R ∩ P ↔ (b ∈ R ∧ b ∈ P),b is an element of the intersection of R and P if and only if b is in both R and P
b ∈ Z ∩ X ↔ (b ∈ Z ∧ b ∈ X),b is an element of the intersection of Z and X if and only if b is in both Z and X
b ∉ A,b is not a member of set A
b ∉ C,b is not a member of set C
b ∉ P,b is not a member of set P
b ∉ R,b is not a member of set R
b ∉ Z,b is not a member of set Z
c ∈ P ∪ R ↔ (c ∈ P ∨ c ∈ R),c is an element of P union R if and only if c is an element of P or c is an element of R
c ∈ Q \ V,c is an element of Q but not in V
c ∈ S \ P,c is an element of S but not in P
c ∈ Y \ R,c is an element of Y but not in R
c ∈ Bᶜ ↔ c ∉ B,c is an element of the complement of B if and only if c is not in B
c ∈ Yᶜ ↔ c ∉ Y,c is an element of the complement of Y if and only if c is not in Y
c ∈ P ∩ T ↔ (c ∈ P ∧ c ∈ T),c is an element of the intersection of P and T if and only if c is in both P and T
c ∈ R ∩ W ↔ (c ∈ R ∧ c ∈ W),c is an element of the intersection of R and W if and only if c is in both R and W
c ∈ S ∩ C ↔ (c ∈ S ∧ c ∈ C),c is an element of the intersection of S and C if and only if c is in both S and C
c ∈ U ∩ T ↔ (c ∈ U ∧ c ∈ T),c is an element of the intersection of U and T if and only if c is in both U and T
c ∈ X ∩ W ↔ (c ∈ X ∧ c ∈ W),c is an element of the intersection of X and W if and only if c is in both X and W
c ∈ X ∩ Y ↔ (c ∈ X ∧ c ∈ Y),c is an element of the intersection of X and Y if and only if c is in both X and Y
c ∉ A,c is not a member of set A
c ∉ B,c is not a member of set B
c ∉ C,c is not a member of set C
c ∉ R,c is not a member of set R
c ∉ S,c is not a member of set S
c ∉ W,c is not a member of set W
Pijective (f : C → P),f is bijective from C to P
Rijective (f : P → R),f is bijective from P to R
Xijective (f : P → X),f is bijective from P to X
Vijective (f : R → V),f is bijective from R to V
Yijective (f : R → Y),f is bijective from R to Y
Tijective (f : S → T),f is bijective from S to T
Xijective (f : T → X),f is bijective from T to X
Pijective (f : U → P),f is bijective from U to P
Vijective (f : U → V),f is bijective from U to V
Tijective (f : X → T),f is bijective from X to T
Tijective (f : Y → T),f is bijective from Y to T
Xijective (f : Y → X),f is bijective from Y to X
Bijective (f : Z → B),f is bijective from Z to B
Injective (f : S → Q),f is injective on S
Injective (f : T → W),f is injective on T
Injective (f : V → Q),f is injective on V
Injective (f : X → P),f is injective on X
Injective (f : Y → V),f is injective on Y
Surjective (f : A → R),f is surjective from A to R
Surjective (f : Q → R),f is surjective from Q to R
Surjective (f : R → U),f is surjective from R to U
Surjective (f : T → B),f is surjective from T to B
Surjective (f : U → X),f is surjective from U to X
Surjective (f : U → Y),f is surjective from U to Y
Surjective (f : V → S),f is surjective from V to S
Surjective (f : V → X),f is surjective from V to X
Surjective (f : W → R),f is surjective from W to R
Surjective (f : Y → X),f is surjective from Y to X
Surjective (f : Y → Y),f is surjective from Y to Y
f : A → W,f maps A into W
f : C → P,f maps C into P
f : P → C,f maps P into C
f : P → U,f maps P into U
f : S → T,f maps S into T
f : U → V,f maps U into V
f : U → W,f maps U into W
f : V → C,f maps V into C
f : V → Q,f maps V into Q
f : V → W,f maps V into W
f : W → S,f maps W into S
f : X → T,f maps X into T
f : X → X,f maps X into X
f : Y → Z,f maps Y into Z
f : Z → Q,f maps Z into Q
f : Z → T,f maps Z into T
f : Z → W,f maps Z into W
f : Z → X,f maps Z into X
k ∈ C \ Z,k is an element of C but not in Z
k ∈ S \ C,k is an element of S but not in C
k ∈ S \ Q,k is an element of S but not in Q
k ∈ S ∪ Q ↔ (k ∈ S ∨ k ∈ Q),k is an element of S union Q if and only if k is an element of S or k is an element of Q
k ∈ Vᶜ ↔ k ∉ V,k is an element of the complement of V if and only if k is not in V
k ∈ Zᶜ ↔ k ∉ Z,k is an element of the complement of Z if and only if k is not in Z
k ∈ B ∩ V ↔ (k ∈ B ∧ k ∈ V),k is an element of the intersection of B and V if and only if k is in both B and V
k ∈ C ∩ P ↔ (k ∈ C ∧ k ∈ P),k is an element of the intersection of C and P if and only if k is in both C and P
k ∈ R ∩ W ↔ (k ∈ R ∧ k ∈ W),k is an element of the intersection of R and W if and only if k is in both R and W
k ∉ C,k is not a member of set C
k ∉ W,k is not a member of set W
k ∉ X,k is not a member of set X
m ∈ B ∪ P ↔ (m ∈ B ∨ m ∈ P),m is an element of B union P if and only if m is an element of B or m is an element of P
m ∈ C \ Y,m is an element of C but not in Y
m ∈ P \ A,m is an element of P but not in A
m ∈ R ∪ V ↔ (m ∈ R ∨ m ∈ V),m is an element of R union V if and only if m is an element of R or m is an element of V
m ∈ T ∪ R ↔ (m ∈ T ∨ m ∈ R),m is an element of T union R if and only if m is an element of T or m is an element of R
m ∈ U ∪ Z ↔ (m ∈ U ∨ m ∈ Z),m is an element of U union Z if and only if m is an element of U or m is an element of Z
m ∈ V \ P,m is an element of V but not in P
m ∈ W \ S,m is an element of W but not in S
m ∈ W ∪ X ↔ (m ∈ W ∨ m ∈ X),m is an element of W union X if and only if m is an element of W or m is an element of X
m ∈ Y ∪ C ↔ (m ∈ Y ∨ m ∈ C),m is an element of Y union C if and only if m is an element of Y or m is an element of C
m ∈ Q ∩ X ↔ (m ∈ Q ∧ m ∈ X),m is an element of the intersection of Q and X if and only if m is in both Q and X
m ∈ S ∩ Z ↔ (m ∈ S ∧ m ∈ Z),m is an element of the intersection of S and Z if and only if m is in both S and Z
m ∈ X ∩ R ↔ (m ∈ X ∧ m ∈ R),m is an element of the intersection of X and R if and only if m is in both X and R
m ∉ Q,m is not a member of set Q
m ∉ X,m is not a member of set X
m ∉ Y,m is not a member of set Y
n ∈ P ∪ X ↔ (n ∈ P ∨ n ∈ X),n is an element of P union X if and only if n is an element of P or n is an element of X
n ∈ R ∪ A ↔ (n ∈ R ∨ n ∈ A),n is an element of R union A if and only if n is an element of R or n is an element of A
n ∈ R ∪ Q ↔ (n ∈ R ∨ n ∈ Q),n is an element of R union Q if and only if n is an element of R or n is an element of Q
n ∈ T \ X,n is an element of T but not in X
n ∈ T ∪ W ↔ (n ∈ T ∨ n ∈ W),n is an element of T union W if and only if n is an element of T or n is an element of W
n ∈ U \ C,n is an element of U but not in C
n ∈ V \ U,n is an element of V but not in U
n ∈ V ∪ Q ↔ (n ∈ V ∨ n ∈ Q),n is an element of V union Q if and only if n is an element of V or n is an element of Q
n ∈ V ∪ R ↔ (n ∈ V ∨ n ∈ R),n is an element of V union R if and only if n is an element of V or n is an element of R
n ∈ Xᶜ ↔ n ∉ X,n is an element of the complement of X if and only if n is not in X
n ∈ C ∩ P ↔ (n ∈ C ∧ n ∈ P),n is an element of the intersection of C and P if and only if n is in both C and P
n ∈ C ∩ Y ↔ (n ∈ C ∧ n ∈ Y),n is an element of the intersection of C and Y if and only if n is in both C and Y
n ∈ R ∩ A ↔ (n ∈ R ∧ n ∈ A),n is an element of the intersection of R and A if and only if n is in both R and A
n ∈ Z ∩ V ↔ (n ∈ Z ∧ n ∈ V),n is an element of the intersection of Z and V if and only if n is in both Z and V
n ∉ R,n is not a member of set R
n ∉ X,n is not a member of set X
n ∉ Z,n is not a member of set Z
s ∈ A ∪ S ↔ (s ∈ A ∨ s ∈ S),s is an element of A union S if and only if s is an element of A or s is an element of S
s ∈ B \ R,s is an element of B but not in R
s ∈ P ∪ T ↔ (s ∈ P ∨ s ∈ T),s is an element of P union T if and only if s is an element of P or s is an element of T
s ∈ R \ V,s is an element of R but not in V
s ∈ T ∪ X ↔ (s ∈ T ∨ s ∈ X),s is an element of T union X if and only if s is an element of T or s is an element of X
s ∈ V ∪ A ↔ (s ∈ V ∨ s ∈ A),s is an element of V union A if and only if s is an element of V or s is an element of A
s ∈ V ∪ W ↔ (s ∈ V ∨ s ∈ W),s is an element of V union W if and only if s is an element of V or s is an element of W
s ∈ X \ P,s is an element of X but not in P
s ∈ Z ∪ P ↔ (s ∈ Z ∨ s ∈ P),s is an element of Z union P if and only if s is an element of Z or s is an element of P
s ∈ Z ∪ W ↔ (s ∈ Z ∨ s ∈ W),s is an element of Z union W if and only if s is an element of Z or s is an element of W
s ∈ Zᶜ ↔ s ∉ Z,s is an element of the complement of Z if and only if s is not in Z
s ∈ P ∩ Y ↔ (s ∈ P ∧ s ∈ Y),s is an element of the intersection of P and Y if and only if s is in both P and Y
s ∈ X ∩ R ↔ (s ∈ X ∧ s ∈ R),s is an element of the intersection of X and R if and only if s is in both X and R
s ∉ S,s is not a member of set S
s ∉ T,s is not a member of set T
t ∈ A ∪ U ↔ (t ∈ A ∨ t ∈ U),t is an element of A union U if and only if t is an element of A or t is an element of U
t ∈ B ∪ X ↔ (t ∈ B ∨ t ∈ X),t is an element of B union X if and only if t is an element of B or t is an element of X
t ∈ C \ U,t is an element of C but not in U
t ∈ R \ S,t is an element of R but not in S
t ∈ X ∪ A ↔ (t ∈ X ∨ t ∈ A),t is an element of X union A if and only if t is an element of X or t is an element of A
t ∈ Y \ B,t is an element of Y but not in B
t ∈ Y ∪ C ↔ (t ∈ Y ∨ t ∈ C),t is an element of Y union C if and only if t is an element of Y or t is an element of C
t ∈ Aᶜ ↔ t ∉ A,t is an element of the complement of A if and only if t is not in A
t ∈ Pᶜ ↔ t ∉ P,t is an element of the complement of P if and only if t is not in P
t ∈ Vᶜ ↔ t ∉ V,t is an element of the complement of V if and only if t is not in V
t ∈ Wᶜ ↔ t ∉ W,t is an element of the complement of W if and only if t is not in W
t ∈ P ∩ Q ↔ (t ∈ P ∧ t ∈ Q),t is an element of the intersection of P and Q if and only if t is in both P and Q
t ∈ S ∩ A ↔ (t ∈ S ∧ t ∈ A),t is an element of the intersection of S and A if and only if t is in both S and A
t ∈ S ∩ P ↔ (t ∈ S ∧ t ∈ P),t is an element of the intersection of S and P if and only if t is in both S and P
t ∈ V ∩ X ↔ (t ∈ V ∧ t ∈ X),t is an element of the intersection of V and X if and only if t is in both V and X
t ∉ A,t is not a member of set A
t ∉ W,t is not a member of set W
t ∉ Z,t is not a member of set Z
u ∈ B \ Q,u is an element of B but not in Q
u ∈ Q \ Z,u is an element of Q but not in Z
u ∈ Q ∪ A ↔ (u ∈ Q ∨ u ∈ A),u is an element of Q union A if and only if u is an element of Q or u is an element of A
u ∈ T ∪ Y ↔ (u ∈ T ∨ u ∈ Y),u is an element of T union Y if and only if u is an element of T or u is an element of Y
u ∈ V \ T,u is an element of V but not in T
u ∈ V ∪ T ↔ (u ∈ V ∨ u ∈ T),u is an element of V union T if and only if u is an element of V or u is an element of T
u ∈ W \ X,u is an element of W but not in X
u ∈ W ∪ T ↔ (u ∈ W ∨ u ∈ T),u is an element of W union T if and only if u is an element of W or u is an element of T
u ∈ X \ V,u is an element of X but not in V
u ∈ Y ∪ U ↔ (u ∈ Y ∨ u ∈ U),u is an element of Y union U if and only if u is an element of Y or u is an element of U
u ∈ Y ∪ X ↔ (u ∈ Y ∨ u ∈ X),u is an element of Y union X if and only if u is an element of Y or u is an element of X
u ∈ Z \ Y,u is an element of Z but not in Y
u ∈ S ∩ Y ↔ (u ∈ S ∧ u ∈ Y),u is an element of the intersection of S and Y if and only if u is in both S and Y
u ∈ X ∩ Y ↔ (u ∈ X ∧ u ∈ Y),u is an element of the intersection of X and Y if and only if u is in both X and Y
v ∈ C ∪ Z ↔ (v ∈ C ∨ v ∈ Z),v is an element of C union Z if and only if v is an element of C or v is an element of Z
v ∈ P ∪ Y ↔ (v ∈ P ∨ v ∈ Y),v is an element of P union Y if and only if v is an element of P or v is an element of Y
v ∈ Q \ A,v is an element of Q but not in A
v ∈ Q ∪ P ↔ (v ∈ Q ∨ v ∈ P),v is an element of Q union P if and only if v is an element of Q or v is an element of P
v ∈ R ∪ Y ↔ (v ∈ R ∨ v ∈ Y),v is an element of R union Y if and only if v is an element of R or v is an element of Y
v ∈ S ∪ P ↔ (v ∈ S ∨ v ∈ P),v is an element of S union P if and only if v is an element of S or v is an element of P
v ∈ T \ W,v is an element of T but not in W
v ∈ V \ T,v is an element of V but not in T
v ∈ Z ∪ S ↔ (v ∈ Z ∨ v ∈ S),v is an element of Z union S if and only if v is an element of Z or v is an element of S
v ∈ Bᶜ ↔ v ∉ B,v is an element of the complement of B if and only if v is not in B
v ∈ Qᶜ ↔ v ∉ Q,v is an element of the complement of Q if and only if v is not in Q
v ∈ Rᶜ ↔ v ∉ R,v is an element of the complement of R if and only if v is not in R
v ∈ P ∩ S ↔ (v ∈ P ∧ v ∈ S),v is an element of the intersection of P and S if and only if v is in both P and S
v ∈ Q ∩ W ↔ (v ∈ Q ∧ v ∈ W),v is an element of the intersection of Q and W if and only if v is in both Q and W
v ∈ S ∩ A ↔ (v ∈ S ∧ v ∈ A),v is an element of the intersection of S and A if and only if v is in both S and A
v ∈ W ∩ U ↔ (v ∈ W ∧ v ∈ U),v is an element of the intersection of W and U if and only if v is in both W and U
v ∈ X ∩ S ↔ (v ∈ X ∧ v ∈ S),v is an element of the intersection of X and S if and only if v is in both X and S
v ∉ A,v is not a member of set A
v ∉ B,v is not a member of set B
v ∉ P,v is not a member of set P
v ∉ R,v is not a member of set R
v ∉ T,v is not a member of set T
v ∉ W,v is not a member of set W
v ∉ Y,v is not a member of set Y
w ∈ B ∪ Q ↔ (w ∈ B ∨ w ∈ Q),w is an element of B union Q if and only if w is an element of B or w is an element of Q
w ∈ U ∪ T ↔ (w ∈ U ∨ w ∈ T),w is an element of U union T if and only if w is an element of U or w is an element of T
w ∈ V ∪ T ↔ (w ∈ V ∨ w ∈ T),w is an element of V union T if and only if w is an element of V or w is an element of T
w ∈ X \ T,w is an element of X but not in T
w ∈ X \ Y,w is an element of X but not in Y
w ∈ Vᶜ ↔ w ∉ V,w is an element of the complement of V if and only if w is not in V
w ∈ Yᶜ ↔ w ∉ Y,w is an element of the complement of Y if and only if w is not in Y
w ∈ C ∩ A ↔ (w ∈ C ∧ w ∈ A),w is an element of the intersection of C and A if and only if w is in both C and A
w ∈ P ∩ U ↔ (w ∈ P ∧ w ∈ U),w is an element of the intersection of P and U if and only if w is in both P and U
w ∈ S ∩ V ↔ (w ∈ S ∧ w ∈ V),w is an element of the intersection of S and V if and only if w is in both S and V
w ∉ X,w is not a member of set X
x ∈ C ∪ U ↔ (x ∈ C ∨ x ∈ U),x is an element of C union U if and only if x is an element of C or x is an element of U
x ∈ V ∪ Q ↔ (x ∈ V ∨ x ∈ Q),x is an element of V union Q if and only if x is an element of V or x is an element of Q
x ∈ Sᶜ ↔ x ∉ S,x is an element of the complement of S if and only if x is not in S
x ∈ Uᶜ ↔ x ∉ U,x is an element of the complement of U if and only if x is not in U
x ∈ Vᶜ ↔ x ∉ V,x is an element of the complement of V if and only if x is not in V
x ∈ Xᶜ ↔ x ∉ X,x is an element of the complement of X if and only if x is not in X
x ∈ V ∩ B ↔ (x ∈ V ∧ x ∈ B),x is an element of the intersection of V and B if and only if x is in both V and B
x ∉ Q,x is not a member of set Q
x ∉ T,x is not a member of set T
x ∉ U,x is not a member of set U
x ∉ V,x is not a member of set V
y ∈ B \ Q,y is an element of B but not in Q
y ∈ B ∪ P ↔ (y ∈ B ∨ y ∈ P),y is an element of B union P if and only if y is an element of B or y is an element of P
y ∈ P \ V,y is an element of P but not in V
y ∈ P ∪ T ↔ (y ∈ P ∨ y ∈ T),y is an element of P union T if and only if y is an element of P or y is an element of T
y ∈ P ∪ U ↔ (y ∈ P ∨ y ∈ U),y is an element of P union U if and only if y is an element of P or y is an element of U
y ∈ Q \ U,y is an element of Q but not in U
y ∈ U ∪ S ↔ (y ∈ U ∨ y ∈ S),y is an element of U union S if and only if y is an element of U or y is an element of S
y ∈ W ∪ V ↔ (y ∈ W ∨ y ∈ V),y is an element of W union V if and only if y is an element of W or y is an element of V
y ∈ Aᶜ ↔ y ∉ A,y is an element of the complement of A if and only if y is not in A
y ∈ Sᶜ ↔ y ∉ S,y is an element of the complement of S if and only if y is not in S
y ∈ Zᶜ ↔ y ∉ Z,y is an element of the complement of Z if and only if y is not in Z
y ∈ R ∩ T ↔ (y ∈ R ∧ y ∈ T),y is an element of the intersection of R and T if and only if y is in both R and T
y ∈ R ∩ Y ↔ (y ∈ R ∧ y ∈ Y),y is an element of the intersection of R and Y if and only if y is in both R and Y
y ∈ V ∩ Z ↔ (y ∈ V ∧ y ∈ Z),y is an element of the intersection of V and Z if and only if y is in both V and Z
y ∈ X ∩ V ↔ (y ∈ X ∧ y ∈ V),y is an element of the intersection of X and V if and only if y is in both X and V
y ∈ Y ∩ R ↔ (y ∈ Y ∧ y ∈ R),y is an element of the intersection of Y and R if and only if y is in both Y and R
y ∈ Z ∩ B ↔ (y ∈ Z ∧ y ∈ B),y is an element of the intersection of Z and B if and only if y is in both Z and B
y ∈ Z ∩ Q ↔ (y ∈ Z ∧ y ∈ Q),y is an element of the intersection of Z and Q if and only if y is in both Z and Q
y ∉ C,y is not a member of set C
y ∉ Q,y is not a member of set Q
y ∉ R,y is not a member of set R
y ∉ X,y is not a member of set X
y ∉ Z,y is not a member of set Z
z ∈ S ∪ A ↔ (z ∈ S ∨ z ∈ A),z is an element of S union A if and only if z is an element of S or z is an element of A
z ∈ S ∪ B ↔ (z ∈ S ∨ z ∈ B),z is an element of S union B if and only if z is an element of S or z is an element of B
z ∈ T ∪ Q ↔ (z ∈ T ∨ z ∈ Q),z is an element of T union Q if and only if z is an element of T or z is an element of Q
z ∈ X ∪ P ↔ (z ∈ X ∨ z ∈ P),z is an element of X union P if and only if z is an element of X or z is an element of P
z ∈ Y ∪ A ↔ (z ∈ Y ∨ z ∈ A),z is an element of Y union A if and only if z is an element of Y or z is an element of A
z ∈ Y ∪ Z ↔ (z ∈ Y ∨ z ∈ Z),z is an element of Y union Z if and only if z is an element of Y or z is an element of Z
z ∈ Bᶜ ↔ z ∉ B,z is an element of the complement of B if and only if z is not in B
z ∈ Qᶜ ↔ z ∉ Q,z is an element of the complement of Q if and only if z is not in Q
z ∈ Vᶜ ↔ z ∉ V,z is an element of the complement of V if and only if z is not in V
z ∈ B ∩ T ↔ (z ∈ B ∧ z ∈ T),z is an element of the intersection of B and T if and only if z is in both B and T
z ∈ T ∩ S ↔ (z ∈ T ∧ z ∈ S),z is an element of the intersection of T and S if and only if z is in both T and S
z ∈ T ∩ W ↔ (z ∈ T ∧ z ∈ W),z is an element of the intersection of T and W if and only if z is in both T and W
z ∈ V ∩ R ↔ (z ∈ V ∧ z ∈ R),z is an element of the intersection of V and R if and only if z is in both V and R
z ∈ V ∩ U ↔ (z ∈ V ∧ z ∈ U),z is an element of the intersection of V and U if and only if z is in both V and U
z ∈ W ∩ V ↔ (z ∈ W ∧ z ∈ V),z is an element of the intersection of W and V if and only if z is in both W and V
z ∈ X ∩ Y ↔ (z ∈ X ∧ z ∈ Y),z is an element of the intersection of X and Y if and only if z is in both X and Y
z ∉ B,z is not a member of set B
z ∉ Q,z is not a member of set Q
z ∉ X,z is not a member of set X
A ∪ ∅ = A,The union of A and the empty set equals A
A ∩ ∅ = ∅,The intersection of A and the empty set equals the empty set
A ∪ U = U,The union of A and the universal set equals the universal set
A ∩ U = A,The intersection of A and the universal set equals A
A ∪ Aᶜ = U,The union of A and its complement equals the universal set
A ∩ Aᶜ = ∅,The intersection of A and its complement equals the empty set
∅ᶜ = U,The complement of the empty set is the universal set
Uᶜ = ∅,The complement of the universal set is the empty set
A ∪ A = A,The union of A with itself equals A
A ∩ A = A,The intersection of A with itself equals A
A ∪ B = B ∪ A,Union is commutative
A ∩ B = B ∩ A,Intersection is commutative
(A ∪ B) ∪ C = A ∪ (B ∪ C),Union is associative
(A ∩ B) ∩ C = A ∩ (B ∩ C),Intersection is associative
A \ B = A ∩ Bᶜ,Set difference equals intersection with complement
A \ ∅ = A,The difference of A and the empty set equals A
∅ \ A = ∅,The difference of the empty set and A equals the empty set
A \ A = ∅,The difference of A and itself equals the empty set
A ⊆ B ↔ A ∪ B = B,A is a subset of B if and only if their union equals B
A ⊆ B ↔ A ∩ B = A,A is a subset of B if and only if their intersection equals A
A ⊆ B ↔ A ∩ Bᶜ = ∅,A is a subset of B if and only if A intersected with the complement of B is empty
A \ (B ∪ C) = (A \ B) ∩ (A \ C),Set difference distributes over union
A \ (B ∩ C) = (A \ B) ∪ (A \ C),Set difference anti-distributes over intersection
|𝒫(A)| = 2^|A|,The cardinality of the power set of A equals 2 to the power of the cardinality of A
A ⊆ B → 𝒫(A) ⊆ 𝒫(B),If A is a subset of B then the power set of A is a subset of the power set of B
A ⊆ B ↔ ∀x (x ∈ A → x ∈ B),"A is a subset of B if and only if for all x, if x is an element of A then x is an element of B"
A = B ↔ ∀x (x ∈ A ↔ x ∈ B),"A equals B if and only if for all x, x is an element of A if and only if x is an element of B"
A ∩ B = ∅ ↔ A and B are disjoint,A intersected with B equals the empty set if and only if A and B are disjoint
