Maths,natural_language
P ∪ (S ∩ X) = (P ∪ S) ∩ (P ∪ X),Union distributes over intersection: P ∪ (S ∩ X) = (P ∪ S) ∩ (P ∪ X)
Z ∩ R,The intersection of sets Z and R
W ∩ (W ∪ C) = W,Wbsorption law for intersection: W ∩ (W ∪ C) = W
Rᶜ,The complement of set R
{n : ℕ | n > 5},The set of all natural numbers greater than 5
y ∈ Zᶜ ↔ y ∉ Z,y is in the complement of Z if and only if y is not in Z
a ∈ C \ W,a is in C but not in W
"∃! x ∈ C, P x",There exists a unique element x in C satisfying P
x ∈ Sᶜ ↔ x ∉ S,x is in the complement of S if and only if x is not in S
B ⊆ P,Every element of B belongs to P
m ∈ R ∪ V ↔ (m ∈ R ∨ m ∈ V),m is in R union V if and only if m is in R or m is in V
{x | P x},The set of all elements x such that property P holds
s ∉ T,s is not a member of set T
W ∩ X,The intersection of sets W and X
t ∉ W,t is not a member of set W
Y ∪ (X ∩ Y) = (Y ∪ X) ∩ (Y ∪ Y),Union distributes over intersection: Y ∪ (X ∩ Y) = (Y ∪ X) ∩ (Y ∪ Y)
"∃ S ⊆ A, S ≠ ∅",There exists a subset S of A that is non-empty
"∀ x ∈ V, P x → Q x","For every element x in V, if P(x) then Q(x)"
R ⊆ C,R is included in C
V ∪ (Y ∩ B) = (V ∪ Y) ∩ (V ∪ B),Union distributes over intersection: V ∪ (Y ∩ B) = (V ∪ Y) ∩ (V ∪ B)
"{n : ℤ | ∃ k, n = 2 * k + 1}",The set of all odd integers
{x ∈ Z | Q x},The set of all elements in Z satisfying property Q
X ⊆ T,Set X is a subset of set T
S ⊆ U,Set S is a subset of set U
"∀ x, x ∉ ∅",The empty set has no elements
t ∈ A ∪ U ↔ (t ∈ A ∨ t ∈ U),t is in A union U if and only if t is in A or t is in U
Surjective (f : A → R),f is surjective from A to R
u ∈ Z \ Y,u is in Z but not in Y
R ⊇ Q,Set R is a superset of set Q
x ∉ T,x is not a member of set T
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
v ∈ Rᶜ ↔ v ∉ R,v is in the complement of R if and only if v is not in R
∅ ∈ 𝒫(B),The empty set is in the power set of B
A ⊆ A ∧ A ⊆ A → A = A,"If A is a subset of A and A is a subset of A, then A equals A"
S × X,The Cartesian product of S and X
Z ⊇ X,Set Z is a superset of set X
Y ⊆ univ,Every set Y is a subset of the universal set
t ∈ U,The element t belongs to set U
A = T ↔ (A ⊆ T ∧ T ⊆ A),Two sets are equal if and only if they are subsets of each other
U ∪ (B ∩ S) = (U ∪ B) ∩ (U ∪ S),Union distributes over intersection: U ∪ (B ∩ S) = (U ∪ B) ∩ (U ∪ S)
Z ⊆ univ,Every set Z is a subset of the universal set
T × P,The Cartesian product of T and P
(P ∪ W)ᶜ = Pᶜ ∩ Wᶜ,The complement of the union of P and W equals the intersection of their complements
a ∈ Wᶜ ↔ a ∉ W,a is in the complement of W if and only if a is not in W
V ⊇ Z,Set V is a superset of set Z
U ∩ B,The intersection of sets U and B
X ⊆ U,X is included in U
"∀ S, S ⊆ R → S ∈ 𝒫(R)",Every subset of R is an element of the power set of R
y ∈ Sᶜ ↔ y ∉ S,y is in the complement of S if and only if y is not in S
R ∩ R ⊆ R,The intersection of R and R is a subset of R
X ⊆ Z,Every element of X belongs to Z
a ∈ T,The element a belongs to set T
A ⊇ P,Set A is a superset of set P
"∀ S ⊆ U, Finite S","For all subsets S of U, S is finite"
Injective (f : X → P),f is injective on X
t ∈ X ∪ A ↔ (t ∈ X ∨ t ∈ A),t is in X union A if and only if t is in X or t is in A
"R = B ↔ ∀ x, x ∈ R ↔ x ∈ B",Sets R and B are equal if they have the same elements
R ∩ (Q ∪ S) = (R ∩ Q) ∪ (R ∩ S),Intersection distributes over union: R ∩ (Q ∪ S) = (R ∩ Q) ∪ (R ∩ S)
a ∈ Rᶜ ↔ a ∉ R,a is in the complement of R if and only if a is not in R
z ∈ V ∩ R ↔ (z ∈ V ∧ z ∈ R),z belongs to the intersection of V and R if and only if z is in both V and R
C ∈ 𝒫(C),C is in its own power set
W ⊇ P,Set W is a superset of set P
(C ∪ Q)ᶜ = Cᶜ ∩ Qᶜ,The complement of the union of C and Q equals the intersection of their complements
Yᶜ,The complement of set Y
(Y ∩ A)ᶜ = Yᶜ ∪ Aᶜ,The complement of the intersection of Y and A equals the union of their complements
C \ W,The set difference C minus W
Y ∩ Z,The intersection of sets Y and Z
z ∈ W ∩ V ↔ (z ∈ W ∧ z ∈ V),z belongs to the intersection of W and V if and only if z is in both W and V
Disjoint U S → U ∩ S = ∅,"If U and S are disjoint, then U ∩ S = ∅"
P ⊆ B,P is included in B
X ∪ S,The union of sets X and S
"∀ x ∈ T, P x → Q x","For every element x in T, if P(x) then Q(x)"
W ⊆ Y,W is contained in Y
U ∪ R,The union of sets U and R
z ∈ Bᶜ ↔ z ∉ B,z is in the complement of B if and only if z is not in B
n ∉ R,n is not a member of set R
"∀ x, x ∈ univ",The universal set contains all elements
b ∈ Q ∪ Y ↔ (b ∈ Q ∨ b ∈ Y),b is in Q union Y if and only if b is in Q or b is in Y
R ⊇ P,Set R is a superset of set P
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
m ∈ Y ∪ C ↔ (m ∈ Y ∨ m ∈ C),m is in Y union C if and only if m is in Y or m is in C
z ∈ Vᶜ ↔ z ∉ V,z is in the complement of V if and only if z is not in V
"Q = W ↔ ∀ x, x ∈ Q ↔ x ∈ W",Sets Q and W are equal if they have the same elements
Z ∩ X,The intersection of sets Z and X
"Injective f → ∀ x y ∈ W, f x = f y → x = y","If f is injective, then for all x, y in W, f(x) = f(y) implies x = y"
B \ R,The set difference B minus R
T ∩ S,The intersection of sets T and S
f ⁻¹' V,The preimage of set V under function f
s ∈ Z ∪ P ↔ (s ∈ Z ∨ s ∈ P),s is in Z union P if and only if s is in Z or s is in P
V \ Y,The set difference V minus Y
a ∈ W ∩ B ↔ (a ∈ W ∧ a ∈ B),a belongs to the intersection of W and B if and only if a is in both W and B
Z ∩ (B ∪ X) = (Z ∩ B) ∪ (Z ∩ X),Intersection distributes over union: Z ∩ (B ∪ X) = (Z ∩ B) ∪ (Z ∩ X)
(Q ∪ U)ᶜ = Qᶜ ∩ Uᶜ,The complement of the union of Q and U equals the intersection of their complements
s ∈ Zᶜ ↔ s ∉ Z,s is in the complement of Z if and only if s is not in Z
P ⊇ Q,Set P is a superset of set Q
c ∈ R ∩ W ↔ (c ∈ R ∧ c ∈ W),c belongs to the intersection of R and W if and only if c is in both R and W
f ⁻¹' S,The preimage of set S under function f
y ∉ C,y is not a member of set C
W ⊇ Q,Set W is a superset of set Q
(Xᶜ)ᶜ = X,Double complement of X is X
V \ S,The set difference V minus S
C ∩ X,The intersection of sets C and X
a ∈ V ∩ T ↔ (a ∈ V ∧ a ∈ T),a belongs to the intersection of V and T if and only if a is in both V and T
c ∈ X ∩ W ↔ (c ∈ X ∧ c ∈ W),c belongs to the intersection of X and W if and only if c is in both X and W
R ⊆ T,Every element of R belongs to T
k ∈ S ∪ Q ↔ (k ∈ S ∨ k ∈ Q),k is in S union Q if and only if k is in S or k is in Q
S ⊆ Y ∧ Y ⊆ S → S ⊆ S,"If S ⊆ Y and Y ⊆ S, then S ⊆ S"
(S ∩ C)ᶜ = Sᶜ ∪ Cᶜ,The complement of the intersection of S and C equals the union of their complements
V ∪ X,The union of sets V and X
y ∈ V ∩ Z ↔ (y ∈ V ∧ y ∈ Z),y belongs to the intersection of V and Z if and only if y is in both V and Z
"C × R = {(a, b) | a ∈ C ∧ b ∈ R}","The Cartesian product C × R is the set of all ordered pairs (a, b) where a ∈ C and b ∈ R"
{x ∈ X | Q x},The set of all elements in X satisfying property Q
b ∈ V,The element b belongs to set V
k ∈ Z,The element k belongs to set Z
(C ∩ Z)ᶜ = Cᶜ ∪ Zᶜ,The complement of the intersection of C and Z equals the union of their complements
(P ∪ Y)ᶜ = Pᶜ ∩ Yᶜ,The complement of the union of P and Y equals the intersection of their complements
X ⊇ C,Set X is a superset of set C
"U = W ↔ ∀ x, x ∈ U ↔ x ∈ W",Sets U and W are equal if they have the same elements
"∀ x, x ∉ ∅",The empty set has no elements
k ∉ C,k is not a member of set C
k ∈ R ∩ W ↔ (k ∈ R ∧ k ∈ W),k belongs to the intersection of R and W if and only if k is in both R and W
Y ⊆ T ∧ T ⊆ A → Y ⊆ A,"If Y ⊆ T and T ⊆ A, then Y ⊆ A"
v ∈ T \ W,v is in T but not in W
Sᶜ,The complement of set S
X ∩ (W ∪ S) = (X ∩ W) ∪ (X ∩ S),Intersection distributes over union: X ∩ (W ∪ S) = (X ∩ W) ∪ (X ∩ S)
c ∈ Bᶜ ↔ c ∉ B,c is in the complement of B if and only if c is not in B
y ∈ Aᶜ ↔ y ∉ A,y is in the complement of A if and only if y is not in A
z ∈ T ∩ S ↔ (z ∈ T ∧ z ∈ S),z belongs to the intersection of T and S if and only if z is in both T and S
Q ∩ X,The intersection of sets Q and X
R ∩ (A ∪ A) = (R ∩ A) ∪ (R ∩ A),Intersection distributes over union: R ∩ (A ∪ A) = (R ∩ A) ∪ (R ∩ A)
"∀ S ⊆ R, Finite S","For all subsets S of R, S is finite"
X ∪ (A ∩ C) = (X ∪ A) ∩ (X ∪ C),Union distributes over intersection: X ∪ (A ∩ C) = (X ∪ A) ∩ (X ∪ C)
U ⊆ V ∧ V ⊆ Q → U ⊆ Q,"If U ⊆ V and V ⊆ Q, then U ⊆ Q"
Z ∪ T,The union of sets Z and T
(Pᶜ)ᶜ = P,Double complement of P is P
S ⊇ X,Set S is a superset of set X
b ∈ V \ R,b is in V but not in R
"∀ x, x ∈ univ",Every element belongs to the universal set
U ∩ Y,The intersection of sets U and Y
∅ ⊆ S,The empty set is a subset of every set S
"∀ x, x ∈ univ",The universal set contains all elements
"{n : ℕ | ∃ k, n = 2 * k}",The set of all even natural numbers
"S × S = {(a, b) | a ∈ S ∧ b ∈ S}","The Cartesian product S × S is the set of all ordered pairs (a, b) where a ∈ S and b ∈ S"
V ⊆ W ∧ W ⊆ T → V ⊆ T,"If V ⊆ W and W ⊆ T, then V ⊆ T"
c ∈ S \ P,c is in S but not in P
Z ∩ U,The intersection of sets Z and U
P ∈ 𝒫(P),P is in its own power set
A ⊆ W ∧ Infinite A → Infinite W,"If A ⊆ W and A is infinite, then W is infinite"
"∃ x ∈ U, Q x",There exists an element x in U such that property Q holds
"∀ x, x ∉ ∅",No element belongs to the empty set
a ∈ P ∩ C ↔ (a ∈ P ∧ a ∈ C),a belongs to the intersection of P and C if and only if a is in both P and C
"∃ x ∈ P, Q x",There exists an element x in P such that property Q holds
T ∩ (T ∪ R) = T,Tbsorption law for intersection: T ∩ (T ∪ R) = T
"∃ x ∈ V, Q x",There exists an element x in V such that property Q holds
U ⊇ Y,Set U is a superset of set Y
f '' X,The image of set X under function f
S ⊆ S → Sᶜ ⊆ Sᶜ,"If S ⊆ S, then Sᶜ ⊆ Sᶜ"
Y ∪ (Y ∩ V) = Y,Ybsorption law for union: Y ∪ (Y ∩ V) = Y
f : P → C,f maps P into C
m ∈ X ∩ R ↔ (m ∈ X ∧ m ∈ R),m belongs to the intersection of X and R if and only if m is in both X and R
Disjoint Q Qᶜ,Q and its complement are disjoint
"∃ x ∈ Z, Q x",There exists an element x in Z such that property Q holds
f '' S,The image of set S under function f
"∃ S ⊆ Z, S ≠ ∅",There exists a subset S of Z that is non-empty
X ⊇ C,Set X is a superset of set C
Z \ W,The set difference Z minus W
Z ∪ (U ∩ A) = (Z ∪ U) ∩ (Z ∪ A),Union distributes over intersection: Z ∪ (U ∩ A) = (Z ∪ U) ∩ (Z ∪ A)
n ∉ R,n is not a member of set R
X ⊆ T,Every element of X belongs to T
k ∈ S,The element k belongs to set S
B \ X,The set difference B minus X
Surjective (f : Q → R),f is surjective from Q to R
Z ∩ (Y ∪ Q) = (Z ∩ Y) ∪ (Z ∩ Q),Intersection distributes over union: Z ∩ (Y ∪ Q) = (Z ∩ Y) ∪ (Z ∩ Q)
v ∉ P,v is not a member of set P
V ∪ (V ∩ U) = V,Vbsorption law for union: V ∪ (V ∩ U) = V
t ∈ Vᶜ ↔ t ∉ V,t is in the complement of V if and only if t is not in V
"∀ x, x ∉ ∅",No element belongs to the empty set
a ∈ U ∪ Y ↔ (a ∈ U ∨ a ∈ Y),a is in U union Y if and only if a is in U or a is in Y
W \ Y,The set difference W minus Y
"∀ x, x ∈ univ",Every element belongs to the universal set
W ⊆ U,Set W is a subset of set U
X ⊇ Y,Set X is a superset of set Y
Uᶜ,The complement of set U
X ⊆ R → Rᶜ ⊆ Xᶜ,"If X ⊆ R, then Rᶜ ⊆ Xᶜ"
Sᶜ,The complement of set S
W ∩ C,The intersection of sets W and C
v ∈ Qᶜ ↔ v ∉ Q,v is in the complement of Q if and only if v is not in Q
a ∈ Wᶜ ↔ a ∉ W,a is in the complement of W if and only if a is not in W
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
y ∈ X ∩ V ↔ (y ∈ X ∧ y ∈ V),y belongs to the intersection of X and V if and only if y is in both X and V
"∀ x, x ∈ univ",The universal set contains all elements
W ∪ R,The union of sets W and R
"∀ x, x ∉ ∅",The empty set has no elements
f : Z → T,f maps Z into T
v ∉ A,v is not a member of set A
"∀ S, S ⊆ B → S ∈ 𝒫(B)",Every subset of B is an element of the power set of B
V ∪ W,The union of sets V and W
"∀ x, x ∉ ∅",The empty set has no elements
"∃! x ∈ R, P x",There exists a unique element x in R satisfying P
Z ∩ Y,The intersection of sets Z and Y
m ∈ S ∩ Z ↔ (m ∈ S ∧ m ∈ Z),m belongs to the intersection of S and Z if and only if m is in both S and Z
"∀ x, x ∉ ∅",No element belongs to the empty set
Surjective (f : U → Y),f is surjective from U to Y
C ⊆ Y,Set C is a subset of set Y
P ⊆ A ∧ A ⊆ P → P = A,"If P is a subset of A and A is a subset of P, then P equals A"
{x : ℝ | x > 0},The set of all positive real numbers
n ∈ Z ∩ V ↔ (n ∈ Z ∧ n ∈ V),n belongs to the intersection of Z and V if and only if n is in both Z and V
Y ∪ P,The union of sets Y and P
U ∩ T,The intersection of sets U and T
B ⊇ W,Set B is a superset of set W
B ⊆ univ,Every set B is a subset of the universal set
P ∪ (U ∩ B) = (P ∪ U) ∩ (P ∪ B),Union distributes over intersection: P ∪ (U ∩ B) = (P ∪ U) ∩ (P ∪ B)
"∀ x ∈ U, P x","For all x in U, property P holds"
U ∩ V,The intersection of sets U and V
"∃! x ∈ P, P x",There exists a unique element x in P satisfying P
Vijective (f : R → V),f is bijective from R to V
m ∈ B ∪ P ↔ (m ∈ B ∨ m ∈ P),m is in B union P if and only if m is in B or m is in P
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
"{n : ℕ | ∃ k, n = 2 * k}",The set of all even natural numbers
"∀ x ∈ W, P x → Q x","For every element x in W, if P(x) then Q(x)"
Y ∩ R,The intersection of sets Y and R
(W ∪ B)ᶜ = Wᶜ ∩ Bᶜ,The complement of the union of W and B equals the intersection of their complements
R = C ↔ (R ⊆ C ∧ C ⊆ R),Two sets are equal if and only if they are subsets of each other
P ∩ (P ∪ T) = P,Pbsorption law for intersection: P ∩ (P ∪ T) = P
m ∈ P \ A,m is in P but not in A
∅ ⊆ R,The empty set is a subset of every set R
w ∉ X,w is not a member of set X
"∃ S ⊆ C, S ≠ ∅",There exists a subset S of C that is non-empty
"U × U = {(a, b) | a ∈ U ∧ b ∈ U}","The Cartesian product U × U is the set of all ordered pairs (a, b) where a ∈ U and b ∈ U"
S ∩ X ⊆ S,The intersection of S and X is a subset of S
Finite R ∧ Finite T → Finite (R ∪ T),"If R is finite and T is finite, then R ∪ T is finite"
{x : ℝ | x > 0},The set of all positive real numbers
f '' R,The image of set R under function f
W ∪ U,The union of sets W and U
{x : ℝ | x > 0},The set of all positive real numbers
Disjoint T Tᶜ,T and its complement are disjoint
R ∩ P ⊆ R,The intersection of R and P is a subset of R
t ∈ Y,The element t belongs to set Y
A ⊇ Z,Set A is a superset of set Z
V ⊆ Q,V is contained in Q
S \ Q,The set difference S minus Q
R ∪ (Y ∩ Z) = (R ∪ Y) ∩ (R ∪ Z),Union distributes over intersection: R ∪ (Y ∩ Z) = (R ∪ Y) ∩ (R ∪ Z)
k ∈ S \ C,k is in S but not in C
S \ U,The set difference S minus U
t ∈ S ∩ P ↔ (t ∈ S ∧ t ∈ P),t belongs to the intersection of S and P if and only if t is in both S and P
∅ ∈ 𝒫(U),The empty set is in the power set of U
t ∈ C \ U,t is in C but not in U
v ∈ Q ∪ P ↔ (v ∈ Q ∨ v ∈ P),v is in Q union P if and only if v is in Q or v is in P
k ∈ C \ Z,k is in C but not in Z
"∃! x ∈ C, P x",There exists a unique element x in C satisfying P
{x : ℝ | x > 0},The set of all positive real numbers
"R × A = {(a, b) | a ∈ R ∧ b ∈ A}","The Cartesian product R × A is the set of all ordered pairs (a, b) where a ∈ R and b ∈ A"
v ∈ S ∪ P ↔ (v ∈ S ∨ v ∈ P),v is in S union P if and only if v is in S or v is in P
S ∪ R,The union of sets S and R
"A × V = {(a, b) | a ∈ A ∧ b ∈ V}","The Cartesian product A × V is the set of all ordered pairs (a, b) where a ∈ A and b ∈ V"
T ⊆ T ∪ U,T is a subset of the union of T and U
"∃ S ⊆ Y, S ≠ ∅",There exists a subset S of Y that is non-empty
V ∪ X,The union of sets V and X
"∀ x, x ∈ univ",The universal set contains all elements
Z ⊆ W,Z is contained in W
T ∩ Z,The intersection of sets T and Z
P ⊆ U ∧ U ⊆ Y → P ⊆ Y,"If P ⊆ U and U ⊆ Y, then P ⊆ Y"
S × W,The Cartesian product of S and W
U ⊆ T ∧ T ⊆ S → U ⊆ S,"If U ⊆ T and T ⊆ S, then U ⊆ S"
y ∈ T,The element y belongs to set T
∅ ⊆ V,The empty set is a subset of every set V
X ⊇ P,Set X is a superset of set P
{n : ℤ | n < 10},The set of all integers less than 10
S ⊆ B,S is included in B
{n : ℤ | n < 10},The set of all integers less than 10
A ⊆ T,Set A is a subset of set T
∅ ⊆ Y,The empty set is a subset of every set Y
f : V → Q,f maps V into Q
"∀ S ⊆ Y, Finite S","For all subsets S of Y, S is finite"
{x | P x},The set of all elements x such that property P holds
S ∈ 𝒫(S),S is in its own power set
Q ⊆ C → Cᶜ ⊆ Qᶜ,"If Q ⊆ C, then Cᶜ ⊆ Qᶜ"
R ⊆ W ∧ W ⊆ Z → R ⊆ Z,"If R ⊆ W and W ⊆ Z, then R ⊆ Z"
B ⊇ R,Set B is a superset of set R
"T × C = {(a, b) | a ∈ T ∧ b ∈ C}","The Cartesian product T × C is the set of all ordered pairs (a, b) where a ∈ T and b ∈ C"
U ⊆ univ,Every set U is a subset of the universal set
"∃ x ∈ A, Q x",There exists an element x in A such that property Q holds
a ∈ U ∩ W ↔ (a ∈ U ∧ a ∈ W),a belongs to the intersection of U and W if and only if a is in both U and W
∅ ⊆ A,The empty set is a subset of every set A
b ∈ W \ X,b is in W but not in X
{x ∈ P | Q x},The set of all elements in P satisfying property Q
U ∪ R,The union of sets U and R
{n : ℤ | n < 10},The set of all integers less than 10
"∀ x ∈ Z, P x → Q x","For every element x in Z, if P(x) then Q(x)"
Finite W ∧ Finite Y → Finite (W ∪ Y),"If W is finite and Y is finite, then W ∪ Y is finite"
Y ⊇ P,Set Y is a superset of set P
y ∈ P \ V,y is in P but not in V
C ∪ Cᶜ = univ,The union of C and its complement equals the universal set
"{n : ℕ | ∃ k, n = 2 * k}",The set of all even natural numbers
"∀ x, x ∈ univ",The universal set contains all elements
S ⊆ U,S is contained in U
S = R ↔ (S ⊆ R ∧ R ⊆ S),Two sets are equal if and only if they are subsets of each other
Z ⊆ univ,Every set Z is a subset of the universal set
𝒫(X) = {S | S ⊆ X},The power set of X is the set of all subsets of X
C ⊇ T,Set C is a superset of set T
m ∈ W ∪ X ↔ (m ∈ W ∨ m ∈ X),m is in W union X if and only if m is in W or m is in X
(X ∩ Z)ᶜ = Xᶜ ∪ Zᶜ,The complement of the intersection of X and Z equals the union of their complements
"∀ x, x ∉ ∅",No element belongs to the empty set
Z ⊆ T,Z is included in T
𝒫(Y) = {S | S ⊆ Y},The power set of Y is the set of all subsets of Y
∅ ⊆ Q,The empty set is a subset of every set Q
Z ⊆ V,Every element of Z belongs to V
s ∈ X \ P,s is in X but not in P
f : X → T,f maps X into T
v ∈ Q ∩ W ↔ (v ∈ Q ∧ v ∈ W),v belongs to the intersection of Q and W if and only if v is in both Q and W
R ⊆ Z,Every element of R belongs to Z
X ⊇ W,Set X is a superset of set W
a ∈ T \ Q,a is in T but not in Q
w ∈ Yᶜ ↔ w ∉ Y,w is in the complement of Y if and only if w is not in Y
B ∪ Y,The union of sets B and Y
n ∈ P ∪ X ↔ (n ∈ P ∨ n ∈ X),n is in P union X if and only if n is in P or n is in X
v ∉ W,v is not a member of set W
"∀ x ∈ C, P x","For all x in C, property P holds"
(R ∩ P)ᶜ = Rᶜ ∪ Pᶜ,The complement of the intersection of R and P equals the union of their complements
"∀ x ∈ A, P x","For all x in A, property P holds"
A ⊆ Y,A is contained in Y
Rᶜ,The complement of set R
"{n : ℤ | ∃ k, n = 2 * k + 1}",The set of all odd integers
X ∪ (P ∩ S) = (X ∪ P) ∩ (X ∪ S),Union distributes over intersection: X ∪ (P ∩ S) = (X ∪ P) ∩ (X ∪ S)
P ⊆ C ∧ C ⊆ P → P = C,"If P is a subset of C and C is a subset of P, then P equals C"
"∃ S ⊆ T, S ≠ ∅",There exists a subset S of T that is non-empty
W ∩ T,The intersection of sets W and T
b ∈ W,The element b belongs to set W
c ∉ W,c is not a member of set W
{x : ℝ | x > 0},The set of all positive real numbers
"∀ x, x ∉ ∅",The empty set has no elements
v ∈ Z ∪ S ↔ (v ∈ Z ∨ v ∈ S),v is in Z union S if and only if v is in Z or v is in S
Q ∩ (Q ∪ B) = Q,Qbsorption law for intersection: Q ∩ (Q ∪ B) = Q
A ⊇ V,Set A is a superset of set V
P ⊆ T ∧ T ⊆ T → P ⊆ T,"If P ⊆ T and T ⊆ T, then P ⊆ T"
m ∈ T,The element m belongs to set T
s ∈ V ∪ W ↔ (s ∈ V ∨ s ∈ W),s is in V union W if and only if s is in V or s is in W
f : Z → Q,f maps Z into Q
"∀ x, x ∉ ∅",No element belongs to the empty set
Bᶜ,The complement of set B
S \ R,The set difference S minus R
"C × Z = {(a, b) | a ∈ C ∧ b ∈ Z}","The Cartesian product C × Z is the set of all ordered pairs (a, b) where a ∈ C and b ∈ Z"
C ∪ S,The union of sets C and S
Y ∪ (Y ∩ U) = Y,Ybsorption law for union: Y ∪ (Y ∩ U) = Y
"∃! x ∈ A, P x",There exists a unique element x in A satisfying P
u ∈ Q \ Z,u is in Q but not in Z
R ⊇ B,Set R is a superset of set B
n ∉ X,n is not a member of set X
m ∈ P,The element m belongs to set P
Aᶜ,The complement of set A
(Aᶜ)ᶜ = A,Double complement of A is A
U ∪ B,The union of sets U and B
Disjoint S Sᶜ,S and its complement are disjoint
S × Z,The Cartesian product of S and Z
Z ∩ U,The intersection of sets Z and U
a ∉ C,a is not a member of set C
k ∈ S \ Q,k is in S but not in Q
Disjoint Q Y → Q ∩ Y = ∅,"If Q and Y are disjoint, then Q ∩ Y = ∅"
Z = R ↔ (Z ⊆ R ∧ R ⊆ Z),Two sets are equal if and only if they are subsets of each other
c ∉ C,c is not a member of set C
"S × B = {(a, b) | a ∈ S ∧ b ∈ B}","The Cartesian product S × B is the set of all ordered pairs (a, b) where a ∈ S and b ∈ B"
m ∉ X,m is not a member of set X
Surjective (f : R → U),f is surjective from R to U
Z ∩ (Z ∪ Z) = Z,Zbsorption law for intersection: Z ∩ (Z ∪ Z) = Z
{x | P x},The set of all elements x such that property P holds
"∃ S ⊆ Q, S ≠ ∅",There exists a subset S of Q that is non-empty
Surjective (f : V → S),f is surjective from V to S
"∀ S ⊆ Y, Finite S","For all subsets S of Y, S is finite"
𝒫(V) = {S | S ⊆ V},The power set of V is the set of all subsets of V
C ⊆ Z,C is contained in Z
a ∉ T,a is not a member of set T
t ∈ W,The element t belongs to set W
Z ⊆ W ∧ Infinite Z → Infinite W,"If Z ⊆ W and Z is infinite, then W is infinite"
"{n : ℕ | ∃ k, n = 2 * k}",The set of all even natural numbers
"{n : ℤ | ∃ k, n = 2 * k + 1}",The set of all odd integers
X ∩ U,The intersection of sets X and U
Xijective (f : Y → X),f is bijective from Y to X
V ⊆ A,V is included in A
R ⊆ S → Sᶜ ⊆ Rᶜ,"If R ⊆ S, then Sᶜ ⊆ Rᶜ"
"∃ x ∈ C, Q x",There exists an element x in C such that property Q holds
y ∉ Z,y is not a member of set Z
"∃ S ⊆ P, S ≠ ∅",There exists a subset S of P that is non-empty
x ∈ T,The element x belongs to set T
A ⊇ R,Set A is a superset of set R
W ∪ (W ∩ R) = W,Wbsorption law for union: W ∪ (W ∩ R) = W
Disjoint Z Zᶜ,Z and its complement are disjoint
Y ⊇ Q,Set Y is a superset of set Q
S ∩ (P ∪ U) = (S ∩ P) ∪ (S ∩ U),Intersection distributes over union: S ∩ (P ∪ U) = (S ∩ P) ∪ (S ∩ U)
z ∈ W,The element z belongs to set W
b ∉ C,b is not a member of set C
U ∪ T,The union of sets U and T
s ∈ T ∪ X ↔ (s ∈ T ∨ s ∈ X),s is in T union X if and only if s is in T or s is in X
Injective (f : Y → V),f is injective on Y
Y ∪ (A ∩ W) = (Y ∪ A) ∩ (Y ∪ W),Union distributes over intersection: Y ∪ (A ∩ W) = (Y ∪ A) ∩ (Y ∪ W)
"∀ x ∈ C, P x → Q x","For every element x in C, if P(x) then Q(x)"
"∀ x, x ∈ univ",Every element belongs to the universal set
"∀ x ∈ V, P x → Q x","For every element x in V, if P(x) then Q(x)"
n ∈ R ∪ A ↔ (n ∈ R ∨ n ∈ A),n is in R union A if and only if n is in R or n is in A
f : U → W,f maps U into W
P ∩ C,The intersection of sets P and C
U ⊇ X,Set U is a superset of set X
S ⊇ B,Set S is a superset of set B
A ∩ V,The intersection of sets A and V
Z ∪ (A ∩ V) = (Z ∪ A) ∩ (Z ∪ V),Union distributes over intersection: Z ∪ (A ∩ V) = (Z ∪ A) ∩ (Z ∪ V)
u ∈ B,The element u belongs to set B
Surjective (f : W → R),f is surjective from W to R
Y ⊆ X ∧ X ⊆ B → Y ⊆ B,"If Y ⊆ X and X ⊆ B, then Y ⊆ B"
f : P → U,f maps P into U
"∀ x ∈ W, P x","For all x in W, property P holds"
V ⊆ X ∧ X ⊆ V → V = X,"If V is a subset of X and X is a subset of V, then V equals X"
"∃ x ∈ T, Q x",There exists an element x in T such that property Q holds
R ∪ S,The union of sets R and S
Pᶜ,The complement of set P
"Q × Z = {(a, b) | a ∈ Q ∧ b ∈ Z}","The Cartesian product Q × Z is the set of all ordered pairs (a, b) where a ∈ Q and b ∈ Z"
y ∈ B ∪ P ↔ (y ∈ B ∨ y ∈ P),y is in B union P if and only if y is in B or y is in P
∅ ∈ 𝒫(W),The empty set is in the power set of W
b ∈ T ∪ R ↔ (b ∈ T ∨ b ∈ R),b is in T union R if and only if b is in T or b is in R
b ∈ C ∩ X ↔ (b ∈ C ∧ b ∈ X),b belongs to the intersection of C and X if and only if b is in both C and X
"Y × Y = {(a, b) | a ∈ Y ∧ b ∈ Y}","The Cartesian product Y × Y is the set of all ordered pairs (a, b) where a ∈ Y and b ∈ Y"
c ∈ Q \ V,c is in Q but not in V
V ∈ 𝒫(V),V is in its own power set
R ∩ T ⊆ R,The intersection of R and T is a subset of R
{x ∈ C | Q x},The set of all elements in C satisfying property Q
Finite Q ∧ Finite V → Finite (Q ∪ V),"If Q is finite and V is finite, then Q ∪ V is finite"
