lean_syntax,natural_language
t ∈ S ∩ A ↔ (t ∈ S ∧ t ∈ A),t belongs to the intersection of S and A if and only if t is in both S and A
U ⊇ R,Set U is a superset of set R
W ⊇ A,Set W is a superset of set A
"∃ x ∈ Y, Q x",There exists an element x in Y such that property Q holds
"∀ x ∈ V, P x → Q x","For every element x in V, if P(x) then Q(x)"
"∃ S ⊆ P, S ≠ ∅",There exists a subset S of P that is non-empty
A ⊆ Y,A is contained in Y
T = C ↔ (T ⊆ C ∧ C ⊆ T),Two sets are equal if and only if they are subsets of each other
f : U → W,f maps U into W
n ∉ R,n is not a member of set R
Y ∪ (Y ∩ U) = Y,Ybsorption law for union: Y ∪ (Y ∩ U) = Y
∅ ∈ 𝒫(U),The empty set is in the power set of U
a ∈ Rᶜ ↔ a ∉ R,a is in the complement of R if and only if a is not in R
"∃! x ∈ P, P x",There exists a unique element x in P satisfying P
C ∩ X,The intersection of sets C and X
C ∪ S,The union of sets C and S
b ∈ P \ X,b is in P but not in X
"∀ x ∈ W, P x → Q x","For every element x in W, if P(x) then Q(x)"
(X ∩ Z)ᶜ = Xᶜ ∪ Zᶜ,The complement of the intersection of X and Z equals the union of their complements
{x | P x},The set of all elements x such that property P holds
X ⊆ V,Set X is a subset of set V
"{n : ℤ | ∃ k, n = 2 * k + 1}",The set of all odd integers
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
"∀ x, x ∉ ∅",No element belongs to the empty set
Y ∩ V,The intersection of sets Y and V
U ∪ (U ∩ U) = U,Ubsorption law for union: U ∪ (U ∩ U) = U
Disjoint U P → U ∩ P = ∅,"If U and P are disjoint, then U ∩ P = ∅"
Yᶜ,The complement of set Y
R ∩ (Q ∪ S) = (R ∩ Q) ∪ (R ∩ S),Intersection distributes over union: R ∩ (Q ∪ S) = (R ∩ Q) ∪ (R ∩ S)
(R ∪ R)ᶜ = Rᶜ ∩ Rᶜ,The complement of the union of R and R equals the intersection of their complements
b ∉ C,b is not a member of set C
T × P,The Cartesian product of T and P
f '' T ⊆ X,The image of T under f is a subset of X
"∃! x ∈ V, P x",There exists a unique element x in V satisfying P
"∀ x, x ∉ ∅",No element belongs to the empty set
T ⊇ P,Set T is a superset of set P
f : Y → Z,f maps Y into Z
z ∈ S,The element z belongs to set S
Disjoint S Sᶜ,S and its complement are disjoint
f '' S,The image of set S under function f
a ∈ R,The element a belongs to set R
𝒫(C) = {S | S ⊆ C},The power set of C is the set of all subsets of C
y ∈ Q \ U,y is in Q but not in U
a ∈ Xᶜ ↔ a ∉ X,a is in the complement of X if and only if a is not in X
W ⊆ R,Set W is a subset of set R
𝒫(S) = {S | S ⊆ S},The power set of S is the set of all subsets of S
S \ Q,The set difference S minus Q
t ∈ Y \ B,t is in Y but not in B
P ⊆ C ∧ C ⊆ P → P = C,"If P is a subset of C and C is a subset of P, then P equals C"
a ∈ Z ∩ T ↔ (a ∈ Z ∧ a ∈ T),a belongs to the intersection of Z and T if and only if a is in both Z and T
B ∩ X,The intersection of sets B and X
W = R ↔ (W ⊆ R ∧ R ⊆ W),Two sets are equal if and only if they are subsets of each other
"∃! x ∈ X, P x",There exists a unique element x in X satisfying P
𝒫(Y) = {S | S ⊆ Y},The power set of Y is the set of all subsets of Y
Y \ U,The set difference Y minus U
"∀ S, S ⊆ X → S ∈ 𝒫(X)",Every subset of X is an element of the power set of X
C ⊆ Q → Qᶜ ⊆ Cᶜ,"If C ⊆ Q, then Qᶜ ⊆ Cᶜ"
f '' R,The image of set R under function f
v ∉ A,v is not a member of set A
C ⊆ V,C is included in V
A ∩ Y,The intersection of sets A and Y
t ∈ X,The element t belongs to set X
T ∩ (T ∪ U) = T,Tbsorption law for intersection: T ∩ (T ∪ U) = T
"∀ x, x ∉ ∅",No element belongs to the empty set
"∀ S, S ⊆ Q → S ∈ 𝒫(Q)",Every subset of Q is an element of the power set of Q
U × T,The Cartesian product of U and T
(Q ∪ Q)ᶜ = Qᶜ ∩ Qᶜ,The complement of the union of Q and Q equals the intersection of their complements
P ⊇ R,Set P is a superset of set R
"∀ x ∈ B, P x","For all x in B, property P holds"
{x ∈ C | Q x},The set of all elements in C satisfying property Q
Q × W,The Cartesian product of Q and W
"∀ x ∈ Q, P x → Q x","For every element x in Q, if P(x) then Q(x)"
"∃ x ∈ B, Q x",There exists an element x in B such that property Q holds
u ∈ Q \ Z,u is in Q but not in Z
Q ⊆ C → Cᶜ ⊆ Qᶜ,"If Q ⊆ C, then Cᶜ ⊆ Qᶜ"
c ∈ S \ P,c is in S but not in P
{n : ℤ | n < 10},The set of all integers less than 10
V ⊆ W ∧ W ⊆ T → V ⊆ T,"If V ⊆ W and W ⊆ T, then V ⊆ T"
"∀ S, S ⊆ B → S ∈ 𝒫(B)",Every subset of B is an element of the power set of B
u ∈ S ∩ Y ↔ (u ∈ S ∧ u ∈ Y),u belongs to the intersection of S and Y if and only if u is in both S and Y
"Z = T ↔ ∀ x, x ∈ Z ↔ x ∈ T",Sets Z and T are equal if they have the same elements
P ∪ U,The union of sets P and U
X ∪ T,The union of sets X and T
∅ ⊆ Q,The empty set is a subset of every set Q
B ⊇ W,Set B is a superset of set W
u ∈ X \ V,u is in X but not in V
(Xᶜ)ᶜ = X,Double complement of X is X
"∀ x, x ∈ univ",The universal set contains all elements
Z ∪ T,The union of sets Z and T
Rijective (f : P → R),f is bijective from P to R
n ∈ Xᶜ ↔ n ∉ X,n is in the complement of X if and only if n is not in X
"Injective f → ∀ x y ∈ W, f x = f y → x = y","If f is injective, then for all x, y in W, f(x) = f(y) implies x = y"
Disjoint Q Qᶜ,Q and its complement are disjoint
P ∪ T,The union of sets P and T
V ∈ 𝒫(V),V is in its own power set
P ⊇ Q,Set P is a superset of set Q
C ∩ S,The intersection of sets C and S
Sᶜ,The complement of set S
C ∪ Cᶜ = univ,The union of C and its complement equals the universal set
Z ∩ (Z ∪ Z) = Z,Zbsorption law for intersection: Z ∩ (Z ∪ Z) = Z
∅ ∈ 𝒫(U),The empty set is in the power set of U
"∃! x ∈ R, P x",There exists a unique element x in R satisfying P
S ⊆ S ∪ U,S is a subset of the union of S and U
W ∩ B,The intersection of sets W and B
B ∪ Y,The union of sets B and Y
R \ S,The set difference R minus S
n ∈ Z ∩ V ↔ (n ∈ Z ∧ n ∈ V),n belongs to the intersection of Z and V if and only if n is in both Z and V
𝒫(P) = {S | S ⊆ P},The power set of P is the set of all subsets of P
Rᶜ,The complement of set R
"∀ x, x ∉ ∅",No element belongs to the empty set
∅ ⊆ U,The empty set is a subset of every set U
"P × S = {(a, b) | a ∈ P ∧ b ∈ S}","The Cartesian product P × S is the set of all ordered pairs (a, b) where a ∈ P and b ∈ S"
m ∈ Q,The element m belongs to set Q
P ⊆ B,P is included in B
Finite W ∧ Finite Y → Finite (W ∪ Y),"If W is finite and Y is finite, then W ∪ Y is finite"
U ∩ (U ∪ W) = U,Ubsorption law for intersection: U ∩ (U ∪ W) = U
"∀ S ⊆ U, Finite S","For all subsets S of U, S is finite"
k ∈ S ∪ Q ↔ (k ∈ S ∨ k ∈ Q),k is in S union Q if and only if k is in S or k is in Q
m ∈ T ∪ R ↔ (m ∈ T ∨ m ∈ R),m is in T union R if and only if m is in T or m is in R
S × Z,The Cartesian product of S and Z
{x : ℝ | 0 < x ∧ x < 1},The set of all real numbers between 0 and 1
C = W ↔ (C ⊆ W ∧ W ⊆ C),Two sets are equal if and only if they are subsets of each other
(Aᶜ)ᶜ = A,Double complement of A is A
U ⊆ Y,Every element of U belongs to Y
A ⊆ W ∧ Infinite A → Infinite W,"If A ⊆ W and A is infinite, then W is infinite"
U ⊆ T ∧ T ⊆ S → U ⊆ S,"If U ⊆ T and T ⊆ S, then U ⊆ S"
{n : ℤ | n < 10},The set of all integers less than 10
"∀ x, x ∉ ∅",The empty set has no elements
z ∈ Bᶜ ↔ z ∉ B,z is in the complement of B if and only if z is not in B
"Injective f → ∀ x y ∈ V, f x = f y → x = y","If f is injective, then for all x, y in V, f(x) = f(y) implies x = y"
b ∉ Z,b is not a member of set Z
"∃ S ⊆ U, S ≠ ∅",There exists a subset S of U that is non-empty
"∀ S, S ⊆ Z → S ∈ 𝒫(Z)",Every subset of Z is an element of the power set of Z
"T = V ↔ ∀ x, x ∈ T ↔ x ∈ V",Sets T and V are equal if they have the same elements
S ⊆ T,Set S is a subset of set T
"∃ S ⊆ U, S ≠ ∅",There exists a subset S of U that is non-empty
T ∪ (U ∩ A) = (T ∪ U) ∩ (T ∪ A),Union distributes over intersection: T ∪ (U ∩ A) = (T ∪ U) ∩ (T ∪ A)
R ⊆ W ∧ W ⊆ Y → R ⊆ Y,"If R ⊆ W and W ⊆ Y, then R ⊆ Y"
z ∉ B,z is not a member of set B
V ⊇ C,Set V is a superset of set C
S ⊆ U → Uᶜ ⊆ Sᶜ,"If S ⊆ U, then Uᶜ ⊆ Sᶜ"
f : C → P,f maps C into P
V ∪ (W ∩ Q) = (V ∪ W) ∩ (V ∪ Q),Union distributes over intersection: V ∪ (W ∩ Q) = (V ∪ W) ∩ (V ∪ Q)
"∀ x, x ∈ univ",The universal set contains all elements
R ⊆ C,R is included in C
C ∩ W,The intersection of sets C and W
W ∩ (W ∪ Z) = W,Wbsorption law for intersection: W ∩ (W ∪ Z) = W
t ∈ P ∩ Q ↔ (t ∈ P ∧ t ∈ Q),t belongs to the intersection of P and Q if and only if t is in both P and Q
W ⊆ U,Set W is a subset of set U
X ⊇ C,Set X is a superset of set C
f '' T,The image of set T under function f
(Wᶜ)ᶜ = W,Double complement of W is W
V ∩ (V ∪ S) = V,Vbsorption law for intersection: V ∩ (V ∪ S) = V
f '' S,The image of set S under function f
"{n : ℤ | ∃ k, n = 2 * k + 1}",The set of all odd integers
T ∩ (T ∪ R) = T,Tbsorption law for intersection: T ∩ (T ∪ R) = T
𝒫(P) = {S | S ⊆ P},The power set of P is the set of all subsets of P
Y ⊆ Y ∪ A,Y is a subset of the union of Y and A
𝒫(V) = {S | S ⊆ V},The power set of V is the set of all subsets of V
Y ∪ (A ∩ W) = (Y ∪ A) ∩ (Y ∪ W),Union distributes over intersection: Y ∪ (A ∩ W) = (Y ∪ A) ∩ (Y ∪ W)
"∀ x, x ∉ ∅",The empty set has no elements
"∀ x ∈ Z, P x → Q x","For every element x in Z, if P(x) then Q(x)"
c ∈ S ∩ C ↔ (c ∈ S ∧ c ∈ C),c belongs to the intersection of S and C if and only if c is in both S and C
Y ⊇ P,Set Y is a superset of set P
∅ ∈ 𝒫(W),The empty set is in the power set of W
Uᶜ,The complement of set U
t ∈ Aᶜ ↔ t ∉ A,t is in the complement of A if and only if t is not in A
P ⊆ X,Every element of P belongs to X
Z ⊇ P,Set Z is a superset of set P
a ∉ T,a is not a member of set T
{n : ℕ | n > 5},The set of all natural numbers greater than 5
U ∪ (U ∩ V) = U,Ubsorption law for union: U ∪ (U ∩ V) = U
C ⊆ S → Sᶜ ⊆ Cᶜ,"If C ⊆ S, then Sᶜ ⊆ Cᶜ"
∅ ∈ 𝒫(R),The empty set is in the power set of R
Surjective (f : U → X),f is surjective from U to X
"∀ x, x ∈ univ",The universal set contains all elements
"∀ x, x ∈ univ",Every element belongs to the universal set
V ∪ Z,The union of sets V and Z
"∀ x ∈ W, P x → Q x","For every element x in W, if P(x) then Q(x)"
U ∈ 𝒫(U),U is in its own power set
t ∈ R,The element t belongs to set R
s ∈ V ∪ W ↔ (s ∈ V ∨ s ∈ W),s is in V union W if and only if s is in V or s is in W
U ⊆ T,Every element of U belongs to T
"∀ x, x ∈ univ",Every element belongs to the universal set
R ⊇ Q,Set R is a superset of set Q
m ∈ Q ∩ X ↔ (m ∈ Q ∧ m ∈ X),m belongs to the intersection of Q and X if and only if m is in both Q and X
x ∈ T,The element x belongs to set T
P ⊆ A ∧ A ⊆ P → P = A,"If P is a subset of A and A is a subset of P, then P equals A"
Xijective (f : P → X),f is bijective from P to X
Z ∩ S ⊆ Z,The intersection of Z and S is a subset of Z
X ∩ U,The intersection of sets X and U
Q ∩ X,The intersection of sets Q and X
P ⊆ U ∧ U ⊆ Y → P ⊆ Y,"If P ⊆ U and U ⊆ Y, then P ⊆ Y"
Z ⊆ T,Every element of Z belongs to T
T ⊆ T ∪ A,T is a subset of the union of T and A
U ⊇ X,Set U is a superset of set X
Y ⊇ W,Set Y is a superset of set W
"S × B = {(a, b) | a ∈ S ∧ b ∈ B}","The Cartesian product S × B is the set of all ordered pairs (a, b) where a ∈ S and b ∈ B"
∅ ∈ 𝒫(B),The empty set is in the power set of B
A ∩ A ⊆ A,The intersection of A and A is a subset of A
R × B,The Cartesian product of R and B
V ∪ (V ∩ U) = V,Vbsorption law for union: V ∪ (V ∩ U) = V
P ⊇ R,Set P is a superset of set R
"∀ x, x ∉ ∅",No element belongs to the empty set
"∀ x, x ∈ univ",The universal set contains all elements
R \ Q,The set difference R minus Q
"{n : ℕ | ∃ k, n = 2 * k}",The set of all even natural numbers
z ∈ X ∩ Y ↔ (z ∈ X ∧ z ∈ Y),z belongs to the intersection of X and Y if and only if z is in both X and Y
C ∪ V,The union of sets C and V
v ∈ S ∪ P ↔ (v ∈ S ∨ v ∈ P),v is in S union P if and only if v is in S or v is in P
S ⊆ U,Set S is a subset of set U
S ⊆ U,S is contained in U
T ⊆ T ∪ U,T is a subset of the union of T and U
W ⊆ W ∧ W ⊆ A → W ⊆ A,"If W ⊆ W and W ⊆ A, then W ⊆ A"
P ∪ T,The union of sets P and T
W ∩ A,The intersection of sets W and A
S ∪ V,The union of sets S and V
Disjoint U S → U ∩ S = ∅,"If U and S are disjoint, then U ∩ S = ∅"
"{n : ℕ | ∃ k, n = 2 * k}",The set of all even natural numbers
"∀ x ∈ R, P x","For all x in R, property P holds"
Uᶜ,The complement of set U
V ⊆ X ∧ X ⊆ V → V = X,"If V is a subset of X and X is a subset of V, then V equals X"
C ∈ 𝒫(C),C is in its own power set
"∀ x ∈ C, P x → Q x","For every element x in C, if P(x) then Q(x)"
S ⊇ Q,Set S is a superset of set Q
{x : ℝ | x > 0},The set of all positive real numbers
{x | P x},The set of all elements x such that property P holds
T \ W,The set difference T minus W
{x ∈ P | Q x},The set of all elements in P satisfying property Q
v ∉ W,v is not a member of set W
"Q = Z ↔ ∀ x, x ∈ Q ↔ x ∈ Z",Sets Q and Z are equal if they have the same elements
U ∈ 𝒫(U),U is in its own power set
A ⊆ C ∧ Infinite A → Infinite C,"If A ⊆ C and A is infinite, then C is infinite"
f ⁻¹' X,The preimage of set X under function f
b ∈ W,The element b belongs to set W
(Rᶜ)ᶜ = R,Double complement of R is R
z ∈ X ∪ P ↔ (z ∈ X ∨ z ∈ P),z is in X union P if and only if z is in X or z is in P
T ⊆ B,Every element of T belongs to B
Q ∪ (Q ∩ S) = Q,Qbsorption law for union: Q ∪ (Q ∩ S) = Q
Q ⊆ C ∧ C ⊆ Q → Q = C,"If Q is a subset of C and C is a subset of Q, then Q equals C"
Pijective (f : U → P),f is bijective from U to P
A ⊆ U ∧ U ⊆ A → A = U,"If A is a subset of U and U is a subset of A, then A equals U"
"∀ x, x ∉ ∅",The empty set has no elements
"C × U = {(a, b) | a ∈ C ∧ b ∈ U}","The Cartesian product C × U is the set of all ordered pairs (a, b) where a ∈ C and b ∈ U"
y ∈ B,The element y belongs to set B
W ⊇ U,Set W is a superset of set U
∅ ⊆ U,The empty set is a subset of every set U
V ∩ (Z ∪ C) = (V ∩ Z) ∪ (V ∩ C),Intersection distributes over union: V ∩ (Z ∪ C) = (V ∩ Z) ∪ (V ∩ C)
X = Y ↔ (X ⊆ Y ∧ Y ⊆ X),Two sets are equal if and only if they are subsets of each other
y ∈ W ∪ V ↔ (y ∈ W ∨ y ∈ V),y is in W union V if and only if y is in W or y is in V
Surjective (f : Y → X),f is surjective from Y to X
B ∩ P,The intersection of sets B and P
s ∈ P ∪ T ↔ (s ∈ P ∨ s ∈ T),s is in P union T if and only if s is in P or s is in T
Rᶜ,The complement of set R
W ⊇ C,Set W is a superset of set C
C ⊆ univ,Every set C is a subset of the universal set
Surjective (f : V → X),f is surjective from V to X
A × R,The Cartesian product of A and R
{n : ℕ | n > 5},The set of all natural numbers greater than 5
W ∩ T,The intersection of sets W and T
Z ⊆ U,Set Z is a subset of set U
x ∈ Q,The element x belongs to set Q
R ⊆ X ∧ X ⊆ R → R = X,"If R is a subset of X and X is a subset of R, then R equals X"
m ∉ X,m is not a member of set X
